Date,Headline,Link
2023-11-27,3 Palestinian students were shot in Vermont. Civil rights groups are calling for a close look at the motive,https://www.cnn.com/2023/11/26/us/palestinian-students-shot-burlington-vermont/index.html
2023-11-26,"Sen. Murphy open to placing conditions on aid to Israel, calls civilian death toll in Gaza ‘unacceptable’",https://www.cnn.com/2023/11/26/politics/chris-murphy-aid-to-israel-conditions-gaza-cnntv/index.html
2023-11-26,"Israeli president talks hostages, truces and criticizes Irish PM’s tweet in CNN interview",https://www.cnn.com/2023/11/26/middleeast/herzog-israel-gaza-cnn-intl/index.html
2023-11-26,Opinion: The big question about the Israel-Hamas truce,https://www.cnn.com/2023/11/26/opinions/clock-ticking-israel-hamas-truce-opinion-column-galant/index.html
2023-11-27,Israel’s farms need foreign labourers. The Hamas attacks triggered an exodus,https://www.cnn.com/2023/11/26/middleeast/israel-farms-foreign-workers-crisis-intl-cmd/index.html
2023-11-26,"November 25, 2023 Israel-Hamas war",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-11-25-23/index.html
2023-11-26,Rocky hostage release underscores fragility of deal between Israel and Hamas,https://www.cnn.com/2023/11/25/middleeast/israel-hostage-families-tension-release/index.html
2023-11-25,First group of Israelis and Palestinians freed under breakthrough Israel-Hamas truce,https://www.cnn.com/2023/11/24/middleeast/israel-hamas-hostage-release-deal-intl/index.html
2023-11-24,"Biden hails initial hostage release, says ‘we will not stop’ until all are brought home",https://www.cnn.com/2023/11/24/politics/biden-remarks-initial-hostage-release-israel-gaza/index.html
2023-11-24,"As fighting pauses, Gazans displaced from north want to return home to bury their dead",https://www.cnn.com/2023/11/24/middleeast/displaced-palestinians-gaza-head-north-amid-truce-mime-intl/index.html
2023-11-24,"Israel-Hamas truce believed to be holding, with hostage release expected in coming hours",https://www.cnn.com/2023/11/24/middleeast/hostage-release-gaza-israel-hamas-truce-intl-hnk/index.html
2023-11-24,Who are the Palestinian prisoners on Israel’s list for potential release?,https://www.cnn.com/2023/11/22/middleeast/palestinian-prisoners-potential-release-intl-cmd/index.html
2023-11-24,Opinion: The deep moral dilemma at the heart of the hostage deal,https://www.cnn.com/2023/11/22/opinions/israel-hamas-hostage-deal-ghitis/index.html
2023-11-22,"November 21, 2023 Israel-Hamas war",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-11-21-23/index.html
2023-11-22,"Hostage families welcome first, precarious hopes after Israel-Hamas deal",https://www.cnn.com/2023/11/21/politics/israel-hamas-qatar-hostage-agreement-analysis/index.html
