Date,Headline,Link
2022-04-07,War in Ukraine is scrambling the world’s ability to fight climate change,https://www.cnn.com/2022/04/07/economy/russia-ukraine-geopolitical-logistics-business/index.html
2022-04-07,Artwork worth $46 million heading back to Russia seized by Finnish Customs,https://www.cnn.com/style/article/finland-russia-seize-artwork-intl-scli/index.html
2022-04-07,Russia has lost 79 planes to sanctions,https://www.cnn.com/2022/04/07/business/russian-airplane-repossession/index.html
2022-04-07,UN suspends Russia from Human Rights Council,https://www.cnn.com/2022/04/07/politics/un-russia-human-rights/index.html
2022-04-07,Russia has changed course. What is Putin’s plan for eastern Ukraine?,https://www.cnn.com/2022/04/07/europe/russia-eastern-ukraine-strategy-explainer-intl/index.html
2022-04-07,"Ukrainian soldiers’ Facebook accounts targeted by hackers, Meta says",https://www.cnn.com/2022/04/07/tech/facebook-russia-targeting-ukraine/index.html
2022-04-07,"Drones, phones and satellite technology are exposing the truth about Russia’s war in Ukraine in near real-time",https://www.cnn.com/2022/04/06/europe/ukraine-russia-war-technology-intl-cmd/index.html
2022-04-07,Shell could take $5 billion hit from Russia exit,https://www.cnn.com/2022/04/07/business/shell-russia-writedown/index.html
2022-04-07,A long war of attrition in Ukraine will have huge global consequences,https://www.cnn.com/2022/04/07/politics/ukraine-war-of-attrition/index.html
2022-04-07,Biden says ‘major war crimes’ being discovered in Ukraine after he announces new sanctions on Russia,https://www.cnn.com/2022/04/06/politics/us-latest-sanctions-on-russia/index.html
2022-04-07,These drone operators used to make ‘nice’ YouTube videos. Now they record alleged Russian war crimes,https://www.cnn.com/2022/04/06/europe/ukraine-drone-operators-alleged-russian-crimes-intl/index.html
2022-04-07,Polish president said it’s ‘hard to deny’ genocide in Ukraine after images of civilians killed emerge,https://www.cnn.com/2022/04/06/politics/andrzej-duda-poland-ukraine-cnntv/index.html
2022-04-07,Everybody hates Vladimir,https://www.cnn.com/2022/04/06/politics/putin-russia-pew-poll/index.html
2022-04-07,Top general warns about China’s military. Here’s the context,https://www.cnn.com/2022/04/06/politics/china-military-russia-ukraine-what-matters/index.html
2022-04-06,Opinion: Russia’s war on trial,https://www.cnn.com/2022/04/06/opinions/russia-war-crimes-trial-teitel/index.html
2022-04-06,US pushes Russia to the brink of default,https://www.cnn.com/2022/04/06/investing/russia-default-sanctions/index.html
2022-04-06,The fight for Sloviansk may be ‘the next pivotal battle’ of Russia’s war in Ukraine,https://www.cnn.com/2022/04/06/europe/sloviansk-ukraine-russia-military-significance-intl/index.html
2022-04-06,Russian car sales have collapsed since the invasion of Ukraine,https://www.cnn.com/2022/04/06/business/russian-economy-car-sales/index.html
2022-04-06,"Russian troops leave behind trail of dead civilians, flattened apartment blocks, and V signs in Ukraine’s Borodianka",https://www.cnn.com/2022/04/05/europe/borodianka-ukraine-deaths-destruction-intl/index.html
2022-04-06,"It’s too soon to say Putin has given up on capturing Kyiv, despite strategy shift, Western officials warn",https://www.cnn.com/2022/04/06/politics/putin-kyiv-shift-strategy-russia/index.html
2022-04-06,Europe is finally coming after Russia’s energy,https://www.cnn.com/2022/04/05/business/eu-russia-coal-explainer/index.html
2022-04-06,Here are the companies pulling back from Russia,https://www.cnn.com/2022/03/02/business/companies-pulling-back-russia-ukraine-war-intl-hnk/index.html
2022-04-06,US to announce new sanction package on Russia on Wednesday,https://www.cnn.com/2022/04/05/politics/russia-sanctions-wednesday/index.html
2022-04-06,"Bodies tied up, shot and left to rot in Bucha hint at gruesome reality of Russia’s occupation in Ukraine",https://www.cnn.com/2022/04/05/europe/bucha-ukraine-russian-occupation-reality-intl-cmd/index.html
2022-04-06,Opinion: What’s behind Russia’s history of atrocities,https://www.cnn.com/2022/04/04/opinions/russian-atrocities-ukraine-bergen/index.html
